,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32
sub-01,0,0,-0.19507,0,-0.02242,11.59572,-11.95365,10.94792,-11.02568,-0.83039,0.03774,2.18284,-2.20928,-0.32961,14.75016,-16.78946,17.13158,-18.26326,0.61509,-0.22753,33.20899,-33.50531,16.89212,-16.86662,20.90495,-19.48064,14.55988,-15.6,27.64887,-30.15272,10.25335,-12.41604,13.05786,-13.05786,-23.11199,-7.8258,0.34967,-13.34354,-12.84265,-13.86754,-13.55084,-37.08159,4.10509,4.27706,4.29415,-17.10218,15.16996,13.47417,-12.48189,-12.16663,43.55609,-25.40098,9.55989,8.09077,1.76999,2.33181,7.27806,8.03549,-28.44552,-30.02876,-42.53757,-45.38838,28.52104,28.74616,0,0,-9.03668,-16.72853,-6.22968,-6.76666,-7.05373,-17.60335,-18.19463,3.39919,-9.25469,-9.26976,-9.26237,1.55921,26.45074,27.52413,27.19914,28.00381,9.7515,4.55795,-20.31302,-17.75935,-12.088,-11.80121,-20.88826,-20.3055,3.66585,3.99854,1.51829,1.64615,-4.26825,-5.55777
sub-02,0,0,-0.45718,0,-0.08119,12.53583,-12.90671,9.91973,-10.55151,-0.42455,0.05787,2.7821,-2.1855,-0.03443,15.34293,-14.4727,18.90999,-18.52342,0.94309,-0.20028,32.24324,-32.37641,18.18736,-17.32111,19.67733,-21.69234,14.76507,-14.36861,27.65753,-27.67336,10.89617,-10.5218,11.4727,-11.4727,-21.42925,-8.29305,-0.99075,-11.38014,-11.57894,-14.98278,-14.93666,-34.55164,3.05747,3.05606,3.00834,-17.80953,11.32542,11.70373,-12.11094,-11.81104,38.5385,-23.41061,6.65852,5.5964,1.60116,1.37811,6.54635,6.27182,-24.76455,-27.33894,-40.29871,-42.39131,24.30075,24.57453,0,0,-6.59389,-13.64064,-5.34347,-6.75056,-6.698,-14.70307,-15.15357,2.9282,-8.4894,-8.06864,-8.04122,1.55517,22.30494,22.31827,23.81474,22.70629,6.02361,5.55602,-17.95416,-17.89678,-10.61781,-10.66393,-19.85135,-19.11662,5.37056,5.36895,4.92972,4.84509,-4.75405,-4.91926
sub-03,0,0,0.08073,0,0.11802,12.50793,-12.97967,11.04104,-10.60027,-0.01541,0.11269,2.3886,-1.93254,-0.20946,15.55537,-15.47878,18.93554,-18.91267,0.37149,-0.16463,35.36353,-34.93296,17.1042,-16.85909,19.67468,-20.07849,16.61331,-13.56883,21.40447,-17.13019,11.21333,-14.21095,12.2093,-12.2093,-23.52834,-9.05004,-1.35651,-13.82345,-13.60163,-16.42854,-16.04406,-37.01371,2.57243,2.56267,2.57595,-16.24091,12.2412,12.35743,-12.24453,-12.18917,38.69115,-23.83692,5.87024,5.45107,-0.04109,0.28095,8.72009,9.06292,-26.62788,-27.68042,-55.90793,-56.73625,28.30484,27.3463,0,0,-8.71748,-17.27288,-6.91351,-7.83664,-7.38854,-16.07491,-17.50611,1.78704,-9.84092,-10.20327,-10.11475,2.34424,25.93554,26.75382,25.33518,25.61826,7.45332,6.27601,-19.02606,-14.91793,-13.06915,-12.39971,-21.69121,-20.47023,6.1912,5.29073,7.13461,7.34166,-6.33369,-7.22138
sub-04,0,0,-0.58591,0,-0.10405,12.92634,-12.3148,10.33565,-10.49559,-1.27583,0.23629,2.58581,-2.05913,0.15923,16.27283,-17.48985,19.81035,-20.67276,-0.04234,-0.378,37.09334,-34.08247,18.1999,-16.95317,19.66995,-22.82636,11.14948,-17.94711,17.86857,-17.35805,12.32106,-13.29486,12.5793,-12.5793,-23.49755,-11.36656,-2.20891,-11.99049,-15.73955,-15.90655,-16.49761,-36.51595,2.19525,2.76089,2.09802,-16.07743,12.50786,12.79614,-12.88886,-12.36455,38.49519,-24.61982,9.12484,3.15048,2.42052,-1.20953,10.95576,7.04048,-25.86555,-33.74268,-59.62958,-72.10471,28.53872,26.67234,0,0,-8.5269,-16.51792,-5.05562,-4.84022,-6.10953,-16.23327,-17.98396,1.26955,-7.46972,-7.40429,-7.38466,3.07696,26.87313,23.71458,29.26965,27.44149,7.46799,8.92511,-19.38504,-19.46254,-11.33391,-13.89435,-19.86676,-23.81939,8.56215,8.62682,14.3154,4.12087,-7.001,-7.83258
sub-05,0,0,-0.04818,0,0.2402,10.9041,-11.63055,9.14398,-10.29959,-0.98192,0.09359,1.82092,-1.78885,0.04467,13.93958,-13.06806,15.90084,-17.13464,1.11622,-0.34094,29.74405,-28.75468,14.062,-14.1714,16.11477,-16.18714,10.85106,-12.03918,16.68522,-23.26722,11.4451,-11.12987,15.25161,-15.25161,-28.03076,-11.67882,-1.36532,-16.77763,-16.65602,-21.01573,-21.41801,-45.72565,3.90528,4.02466,3.87561,-20.62673,15.78529,16.17968,-14.69573,-14.26106,44.35414,-26.96262,3.41561,4.02109,3.58678,2.01429,4.93476,5.80268,-30.98761,-32.89378,-72.7968,-73.03389,29.94568,28.66443,0,0,-9.80322,-18.09263,-7.5428,-7.88234,-8.55577,-18.16057,-19.14245,0.66472,-11.04313,-10.48855,-10.57042,2.72431,27.86804,25.73395,28.9405,26.12916,9.84432,8.74733,-16.11522,-16.83654,-12.51718,-12.85549,-20.05425,-20.46932,6.28225,5.90804,1.80488,-4.40212,-6.29506,-7.90166
sub-06,0,0,-0.0334,0,0.02251,12.39669,-11.7544,10.0573,-10.33475,0.18917,-0.23315,2.17541,-2.23772,-0.06694,16.77856,-14.22118,19.2868,-18.8267,0.44206,-0.14308,33.40947,-34.92379,16.93913,-17.714,25.33299,-25.49412,16.93391,-16.70272,20.11775,-23.37045,11.35729,-11.57028,12.10708,-12.10708,-23.72436,-11.26656,-0.83598,-13.69954,-13.39506,-17.25849,-16.81413,-34.47981,1.22629,1.92602,2.01663,-17.50906,12.58594,13.16969,-12.23674,-11.60988,40.32865,-21.58213,4.92697,4.37968,0.58059,1.28264,5.88906,6.7188,-25.95851,-25.32495,-58.57013,-54.56424,24.58793,25.92569,0,0,-7.36755,-17.29106,-6.74253,-6.08178,-5.64534,-15.61121,-15.51538,5.72975,-10.53381,-10.26676,-10.41182,2.67163,24.22809,24.66113,24.59384,24.38453,4.09257,6.69531,-21.28427,-16.97583,-11.95231,-12.3264,-23.68546,-23.78481,5.65955,4.92729,10.28881,8.26221,-6.82429,-7.14958
sub-07,0,0,-0.19469,0,0.04852,13.22759,-11.73595,10.81144,-10.96896,0.39469,-0.01048,2.24799,-2.31246,-0.1933,15.79349,-18.97545,19.0474,-20.01644,-0.5402,-0.18818,32.33893,-32.78422,18.41651,-17.06692,22.49903,-21.54067,12.62875,-10.51516,17.42038,-21.5159,11.73922,-12.4728,12.28091,-12.28091,-24.25182,-9.62495,-0.65839,-14.08878,-13.50482,-17.61446,-18.17208,-39.31723,2.86159,2.98109,3.22927,-16.20217,12.25452,12.32119,-12.46234,-12.26388,43.28367,-31.91166,6.6085,7.34964,0.65218,1.27029,8.55787,8.72137,-33.32822,-33.1801,-69.57714,-67.20194,25.29879,24.45179,0,0,-9.71907,-16.18927,-6.33516,-7.84077,-7.10982,-19.04389,-18.0357,-2.37876,-9.39724,-9.50049,-9.34366,2.02236,28.34778,29.05288,30.22968,30.63475,9.60839,4.10208,-20.89383,-19.73105,-13.00596,-12.51069,-22.63911,-21.23046,2.40939,2.73364,-2.29796,-1.60546,-7.29707,-8.40496
sub-08,0,0,-0.16507,0,0.02862,11.68608,-10.64252,10.30631,-9.19113,0.27567,-0.37128,1.63443,-2.41298,0.20469,14.53873,-12.73024,18.74072,-16.16034,0.22495,0.493,28.85202,-33.22048,19.44952,-18.22353,19.68635,-21.04179,12.35491,-10.1207,19.45913,-13.94321,10.52917,-12.86351,12.81444,-12.81444,-25.29357,-11.22123,-1.99591,-15.90304,-14.91267,-18.10871,-17.95544,-43.45757,1.90969,2.2619,2.47105,-17.07623,12.65314,13.08392,-13.03727,-12.6656,41.95494,-28.25627,5.7654,6.95633,0.10441,1.54997,4.82661,9.19147,-30.65873,-29.75201,-67.18755,-72.82999,26.29685,29.81322,0,0,-8.23654,-16.42473,-6.49639,-7.27024,-6.57181,-17.00263,-16.50208,1.69754,-8.48668,-8.09968,-8.60605,1.55384,23.0973,25.48557,25.0485,26.4358,11.90833,6.43244,-21.58019,-18.01013,-13.11182,-10.36283,-22.79325,-22.61194,2.1093,3.58846,3.0778,1.90285,-5.35542,-4.84122
sub-09,0,0,-0.23505,0,-0.01127,11.11131,-11.24683,10.28524,-9.20545,0.21041,0.05788,2.06727,-1.71202,0.04622,12.68864,-13.75933,18.36923,-17.13941,0.04724,0.06284,31.74108,-32.33545,14.51839,-15.13878,17.18957,-18.4092,15.69112,-13.38208,25.64107,-23.90787,11.2806,-11.39452,12.7256,-12.7256,-22.87238,-9.40078,-0.99326,-13.95701,-13.16901,-16.10938,-15.94825,-36.41118,3.25403,3.70673,3.73122,-16.40306,12.36274,12.97242,-13.39431,-12.24205,41.79917,-20.97671,4.9238,3.8162,2.77461,2.6395,9.37601,8.30979,-26.14619,-26.03439,-45.30033,-44.02294,26.72578,27.85826,0,0,-8.27236,-16.09487,-6.40367,-6.92577,-6.66859,-18.05398,-17.31713,2.28705,-8.84758,-9.05004,-8.89744,1.75831,22.96424,24.12419,24.06997,23.87527,7.75157,5.02426,-19.57297,-19.54907,-12.27216,-12.66081,-19.00645,-19.93957,5.1043,3.83817,2.03217,1.23885,-5.44532,-6.02233
sub-10,0,0,-0.09058,0,-0.08269,11.21473,-12.88658,9.37911,-10.01051,-0.60614,-0.10666,2.31029,-2.98556,-0.0598,17.45365,-15.37388,21.03354,-19.36821,0.20417,-0.22707,35.26867,-36.55081,17.54453,-17.75751,25.37517,-25.71322,15.38803,-17.54381,20.76696,-16.04302,12.13144,-14.44439,13.8244,-13.8244,-25.41885,-9.78143,-0.63236,-14.19463,-15.35856,-18.57255,-19.32912,-41.39452,3.12899,3.58178,3.14178,-19.22572,13.70611,13.76753,-13.99831,-13.79399,40.47999,-24.92275,5.8393,1.87004,2.47765,0.40653,8.22616,3.99514,-26.58844,-32.55961,-57.31463,-72.24511,29.10761,28.43558,0,0,-6.89032,-14.26966,-6.3612,-6.44751,-6.38316,-15.51514,-15.8694,0.63336,-8.8603,-8.84431,-8.86631,1.96645,25.56539,25.77201,25.59794,26.07517,10.36416,5.23586,-21.03582,-16.53095,-12.71618,-11.48595,-21.64935,-18.12787,3.49236,1.64174,4.94833,-3.33674,-6.94926,-4.87284
