subjid,roi,side,vol_mm,centroid_x,centroid_y,centroid_z
sub-R01,STN,L,111.741,-10.2717,25.2001,13.5802
sub-R02,STN,L,154.44,-8.51599,19.1185,8.33398
sub-R03,STN,L,121.722,-6.75441,20.9804,-17.6547
sub-R04,STN,L,100.095,-11.6816,37.1169,4.72863
sub-R05,STN,L,101.204,-7.38121,30.1683,-7.23315
sub-R06,STN,L,123.386,-9.93778,20.2451,0.821535
sub-R07,STN,L,151.39,-9.33155,34.3658,-10.2913
sub-R08,STN,L,127.822,-8.80798,31.7085,-9.14269
sub-R09,STN,L,100.927,-7.2077,28.8021,7.8062
sub-R10,STN,L,143.904,-8.91285,32.6917,-4.7569
sub-R01,STN,R,118.395,9.95442,25.1775,12.0361
sub-R02,STN,R,156.936,11.4459,20.2445,8.20792
sub-R03,STN,R,140.022,12.9332,19.7491,-16.6896
sub-R04,STN,R,125.604,11.0437,41.1537,6.34567
sub-R05,STN,R,98.7088,10.0886,31.9149,-7.23698
sub-R06,STN,R,146.954,10.4217,19.0043,1.57182
sub-R07,STN,R,153.331,13.2538,34.4213,-11.3005
sub-R08,STN,R,147.786,11.2342,30.2615,-9.14065
sub-R09,STN,R,109.245,13.4719,27.151,7.39882
sub-R10,STN,R,147.231,13.9707,35.068,-6.06229
