subjid,roi,side,vol_mm,centroid_x,centroid_y,centroid_z
sub-C001,STN,L,165.467377,-10.58516,3.77617,-24.466611
sub-C002,STN,L,142.370895,-7.404793,-8.916362,-42.775581
sub-C003,STN,L,157.881744,-4.495196,-11.190258,-21.19475
sub-C004,STN,L,145.473404,-10.477353,-3.961219,-35.862049
sub-C005,STN,L,141.336731,-7.323238,-6.269578,-19.840917
sub-C006,STN,L,121.687469,-7.713447,-0.105135,-17.774627
sub-C007,STN,L,137.198547,-0.127863,-4.03458,-49.483202
sub-C008,STN,L,151.678436,-9.162996,-8.430076,-15.969515
sub-C009,STN,L,170.293503,-10.424057,-0.546425,-21.549252
sub-C010,STN,L,123.409744,-8.075046,-9.219937,-46.372968
sub-C011,STN,L,156.847565,-8.136833,-11.491609,-28.758228
sub-C012,STN,L,130.99501,-7.022659,-11.502645,-30.142731
sub-C013,STN,L,141.681442,-9.488039,-4.180766,-20.405565
sub-C015,STN,L,122.721642,-7.682351,-19.528873,-11.674523
sub-C016,STN,L,142.026169,-10.507372,-1.129641,-16.065673
sub-C018,STN,L,131.684448,-5.151953,-14.196423,-13.555393
sub-C019,STN,L,152.023163,-9.941049,-11.512968,-23.181822
sub-C020,STN,L,148.919022,-6.039175,-6.717563,-19.528658
sub-C021,STN,L,136.165863,-7.802457,-8.285425,-8.806138
sub-C022,STN,L,130.304138,-8.163972,-6.73567,-44.232173
sub-C023,STN,L,157.538742,-7.035155,-6.571819,-27.540147
sub-C024,STN,L,150.987335,-5.801676,-8.355791,-17.292034
sub-C025,STN,L,136.853836,-5.449196,-17.918602,-26.003297
sub-C026,STN,L,140.302536,-9.209735,-8.74766,-15.314637
sub-C027,STN,L,126.513596,-9.141575,-11.2797,-19.323039
sub-C028,STN,L,156.847565,-9.321443,-9.67318,-38.931102
sub-C029,STN,L,170.638229,-6.981971,-4.814656,-45.091325
sub-C030,STN,L,143.40506,-4.747338,-1.846144,-22.498194
sub-C031,STN,L,160.641251,-10.281261,-11.544735,-36.713667
sub-C032,STN,L,142.026169,-6.31632,-13.071823,-32.962243
sub-C033,STN,L,142.024628,-8.937061,-10.56153,-12.59267
sub-C034,STN,L,137.198547,-9.282507,-16.221557,-14.028193
sub-C001,STN,R,148.575912,11.125667,4.356695,-24.843787
sub-C002,STN,R,130.99501,11.319304,-8.859449,-43.244099
sub-C003,STN,R,140.30101,15.227568,-9.519651,-19.625608
sub-C004,STN,R,130.650284,11.708408,-3.341259,-35.256687
sub-C005,STN,R,129.960846,14.563116,-7.46987,-20.06164
sub-C006,STN,R,120.308578,10.466467,-0.689109,-18.546331
sub-C007,STN,R,126.856949,19.644517,-4.289928,-50.602979
sub-C008,STN,R,155.470383,12.555344,-7.671839,-15.430596
sub-C009,STN,R,168.225174,11.03604,-0.619595,-20.567055
sub-C010,STN,R,107.897354,12.090619,-9.248163,-46.536617
sub-C011,STN,R,141.679886,11.586049,-10.890252,-29.712807
sub-C012,STN,R,123.755806,12.327568,-10.659645,-30.098708
sub-C013,STN,R,129.616104,10.093708,-3.112726,-20.034012
sub-C015,STN,R,116.516617,12.285244,-18.115788,-10.533105
sub-C016,STN,R,133.063354,8.86924,0.507792,-16.295334
sub-C018,STN,R,122.721642,14.465481,-14.318938,-14.228208
sub-C019,STN,R,129.271393,10.26716,-11.998448,-24.683926
sub-C020,STN,R,132.02774,12.702915,-3.859123,-20.735564
sub-C021,STN,R,119.963852,11.280026,-8.434985,-7.750964
sub-C022,STN,R,128.235825,11.275609,-5.539489,-42.659125
sub-C023,STN,R,142.370895,12.860213,-7.041335,-28.103303
sub-C024,STN,R,145.127106,14.774889,-7.078695,-17.155985
sub-C025,STN,R,126.167503,14.824224,-18.67127,-26.901438
sub-C026,STN,R,131.339737,12.754985,-9.854491,-15.189108
sub-C027,STN,R,117.206055,9.595732,-10.658413,-19.351108
sub-C028,STN,R,131.683014,13.732391,-8.177588,-39.051847
sub-C029,STN,R,159.262344,10.642993,-6.0206,-45.175778
sub-C030,STN,R,133.063354,15.837826,-1.540674,-24.51905
sub-C031,STN,R,144.783951,11.89957,-11.008373,-37.078262
sub-C032,STN,R,135.821152,14.303336,-13.023128,-33.375165
sub-C033,STN,R,136.509094,10.869138,-10.562614,-13.004917
sub-C034,STN,R,135.474945,12.057277,-12.635877,-13.778173
