subjid,roi,side,vol_mm,centroid_x,centroid_y,centroid_z
sub-P023,STN,L,93.982,-8.01014,-5.12738,-38.3132
sub-P063,STN,L,139.367,-3.44997,12.7873,-18.2237
sub-P064,STN,L,124.842,-7.33576,15.3025,-5.72694
sub-P068,STN,L,107.498,-11.7759,15.83,-23.5304
sub-P073,STN,L,85.312,-5.69913,14.71,-15.8196
sub-P075,STN,L,167.069,-8.00217,23.1437,-17.6547
sub-P082,STN,L,84.0863,-5.86548,7.08737,-43.8093
sub-P091,STN,L,85.741,-9.13795,16.6525,-20.7047
sub-P096,STN,L,111.42,-9.01813,16.59,-12.2177
sub-P101,STN,L,102.227,-4.48183,32.0898,-36.1576
sub-P114,STN,L,141.451,-7.49553,5.60757,-39.3232
sub-P122,STN,L,127.723,-8.46642,12.8425,-13.9023
sub-P136,STN,L,117.672,-6.24817,12.7121,-26.6203
sub-P145,STN,L,134.342,-11.4444,19.5312,-35.4092
sub-P148,STN,L,147.825,-12.231,3.27075,-3.89542
sub-P149,STN,L,141.206,-9.90031,0.463082,-13.5186
sub-P153,STN,L,135.813,-9.08864,-2.04336,-41.8206
sub-P157,STN,L,143.167,-5.94301,4.79627,-38.6634
sub-P023,STN,R,96.04,10.1165,-4.8775,-39.0527
sub-P063,STN,R,146.477,16.1321,11.678,-18.3636
sub-P064,STN,R,132.442,12.2775,14.6494,-5.36144
sub-P068,STN,R,90.5827,10.1793,17.9233,-22.8455
sub-P073,STN,R,101.553,12.7466,12.2261,-14.4641
sub-P075,STN,R,170.747,15.9916,23.4755,-18.9099
sub-P082,STN,R,76.4866,11.4072,6.91722,-43.4967
sub-P091,STN,R,103.269,11.822,17.3247,-18.6831
sub-P096,STN,R,123.433,13.4311,17.2331,-8.89239
sub-P101,STN,R,92.6665,13.1059,31.4278,-37.0685
sub-P114,STN,R,149.296,11.613,5.38807,-38.1627
sub-P122,STN,R,114.73,10.2506,12.9198,-13.4518
sub-P136,STN,R,105.169,13.4131,11.3487,-27.4998
sub-P145,STN,R,137.774,9.0572,19.5803,-35.1877
sub-P148,STN,R,154.689,7.89696,4.65007,-2.71995
sub-P149,STN,R,137.774,12.1707,-0.0378371,-13.2599
sub-P153,STN,R,114.485,12.8728,-0.977182,-42.5815
sub-P157,STN,R,164.986,16.2203,3.42445,-40.1163
