,RSTNx,LSTNx,RSTNy,LSTNy,RSTNz,LSTNz
sub-R01,10.15587,-10.11334,-0.62221,-0.29396,-2.97508,-2.24564
sub-R02,10.34132,-9.64311,-0.04839,0.53717,-3.70738,-3.90893
sub-R03,10.00627,-9.74085,-0.01114,0.2596,-3.45441,-3.62063
sub-R04,11.99768,-11.01581,-1.2471,-3.37892,-3.18513,-4.27329
sub-R05,8.37796,-9.13868,0.39246,-0.79233,-3.63115,-3.53862
sub-R06,10.63457,-9.75679,-1.37201,-0.48607,-4.37615,-4.23976
sub-R07,11.42653,-11.07983,-0.89115,0.37746,-5.1886,-3.46408
sub-R08,10.00027,-10.04478,-2.11911,-0.86571,-5.19328,-4.55465
sub-R09,10.02616,-10.7211,-1.31091,-1.01422,-3.50005,-3.46688
sub-R10,11.26958,-11.67215,-0.26189,-2.34631,-3.92985,-3.34702
sub-C001,11.08066,-10.60807,-0.77199,-1.94504,-3.90061,-4.15024
sub-C002,9.5492,-9.17329,-0.77546,-1.30566,-3.22288,-3.18022
sub-C003,9.71392,-10.0527,0.10331,-1.75735,-2.80152,-2.5584
sub-C004,11.29761,-10.87836,-0.77752,-1.49944,-2.78323,-3.59794
sub-C005,11.3454,-10.56128,-1.1539,-1.91707,-3.40805,-3.53858
sub-C006,9.18976,-8.99104,-1.90054,-1.00251,-2.66576,-2.35305
sub-C007,10.0786,-9.7098,-1.03014,-1.82612,-2.83051,-2.6033
sub-C008,10.88975,-10.83519,-1.75105,-2.18698,-3.19346,-2.56989
sub-C009,11.20729,-10.27533,-1.20857,-1.17056,-3.50957,-3.46737
sub-C010,10.28947,-9.87625,-0.36493,-0.38126,-2.62916,-2.47081
sub-C011,10.18457,-9.55236,-0.74004,-1.12035,-4.00908,-3.25158
sub-C012,10.08354,-9.26016,-0.51129,-1.4315,-3.29709,-2.95301
sub-C013,9.96038,-9.63258,-0.88976,-1.45204,-3.43354,-2.71003
sub-C015,9.88314,-10.09447,0.53504,-1.16234,-2.93871,-3.07446
sub-C016,9.70105,-9.728,-0.71476,-1.50432,-3.46266,-3.18797
sub-C018,9.75913,-9.759,0.30604,-1.39008,-2.61646,-3.83183
sub-C019,10.27163,-9.96506,-1.22337,-0.87672,-3.55839,-2.45404
sub-C020,9.38789,-9.51144,-0.21243,-2.11136,-2.83464,-2.51401
sub-C021,9.78273,-9.30348,-0.36157,-1.30432,-3.18167,-2.85791
